Year,FIPS,Female,Male,Suppressed,Unknown,Total
2008,27035,38.0,48.0,0.0,0.0,86.0
2008,27037,16.0,33.0,0.0,0.0,49.0
2008,27049,0.0,8.0,0.0,0.0,8.0
2008,27053,59.0,135.0,0.0,0.0,194.0
2008,27055,0.0,10.0,6.0,0.0,16.0
2008,27057,8.0,13.0,0.0,0.0,21.0
2008,27059,6.0,8.0,0.0,0.0,14.0
2008,27061,17.0,40.0,0.0,0.0,57.0
2008,27065,0.0,5.0,0.0,0.0,5.0
2008,27095,0.0,12.0,2.0,0.0,14.0
2008,27097,6.0,0.0,1.0,0.0,7.0
2008,27109,7.0,13.0,0.0,0.0,20.0
2008,27111,0.0,7.0,1.0,0.0,8.0
2008,27115,17.0,20.0,0.0,0.0,37.0
2008,27119,0.0,0.0,6.0,0.0,6.0
2008,27123,31.0,59.0,0.0,0.0,90.0
2008,27131,0.0,0.0,7.0,0.0,7.0
2008,27137,28.0,49.0,0.0,0.0,77.0
2008,27139,0.0,10.0,4.0,0.0,14.0
2008,27141,19.0,14.0,0.0,0.0,33.0
2008,27145,0.0,15.0,5.0,0.0,20.0
2008,27147,0.0,0.0,5.0,0.0,5.0
2008,27153,6.0,0.0,3.0,0.0,9.0
2008,27159,0.0,7.0,5.0,0.0,12.0
2008,27163,23.0,46.0,0.0,0.0,69.0
2008,27169,10.0,9.0,0.0,0.0,19.0
2008,27171,6.0,11.0,0.0,0.0,17.0
2008,32031,8.0,0.0,0.0,0.0,8.0
2008,33001,9.0,13.0,0.0,0.0,22.0
2008,33003,8.0,8.0,0.0,0.0,16.0
2008,33005,16.0,19.0,1.0,0.0,36.0
2008,33009,7.0,11.0,0.0,0.0,18.0
2008,33011,195.0,248.0,6.0,0.0,449.0
2008,33013,39.0,64.0,1.0,0.0,104.0
2008,33015,306.0,364.0,1.0,0.0,671.0
2008,33017,115.0,145.0,2.0,0.0,262.0
2008,33019,7.0,7.0,0.0,0.0,14.0
2008,34001,65.0,58.0,0.0,0.0,123.0
2008,34003,77.0,97.0,0.0,0.0,174.0
2008,34005,140.0,138.0,0.0,0.0,278.0
2008,34009,18.0,18.0,0.0,0.0,36.0
2008,34011,45.0,53.0,0.0,0.0,98.0
2008,34013,73.0,49.0,0.0,0.0,122.0
2008,34015,42.0,58.0,0.0,0.0,100.0
2008,34017,13.0,0.0,4.0,0.0,17.0
2008,34019,175.0,204.0,0.0,0.0,379.0
2008,34021,105.0,128.0,1.0,0.0,234.0
2008,34023,22.0,32.0,0.0,0.0,54.0
2008,34025,135.0,124.0,0.0,0.0,259.0
2008,34027,181.0,223.0,0.0,0.0,404.0
2008,34029,79.0,70.0,0.0,0.0,149.0
2008,34031,83.0,73.0,0.0,0.0,156.0
2008,34033,25.0,19.0,0.0,0.0,44.0
2008,34035,67.0,86.0,0.0,0.0,153.0
2008,34037,153.0,199.0,1.0,0.0,353.0
2008,34039,35.0,32.0,0.0,0.0,67.0
2008,34041,133.0,124.0,0.0,0.0,257.0
2008,36001,314.0,324.0,0.0,0.0,638.0
2008,36005,48.0,25.0,0.0,0.0,73.0
2008,36007,8.0,11.0,0.0,0.0,19.0
2008,36013,0.0,5.0,0.0,0.0,5.0
2008,36019,0.0,0.0,7.0,0.0,7.0
2008,36021,292.0,290.0,2.0,0.0,584.0
2008,36025,0.0,7.0,2.0,0.0,9.0
2008,36027,502.0,639.0,0.0,0.0,1141.0
2008,36029,0.0,0.0,8.0,0.0,8.0
2008,36031,9.0,15.0,0.0,0.0,24.0
2008,36033,0.0,0.0,5.0,0.0,5.0
2008,36035,0.0,0.0,5.0,0.0,5.0
2008,36039,143.0,170.0,0.0,0.0,313.0
2008,36043,6.0,5.0,0.0,0.0,11.0
2008,36045,19.0,18.0,0.0,0.0,37.0
2008,36047,85.0,93.0,0.0,0.0,178.0
2008,36053,0.0,7.0,0.0,0.0,7.0
2008,36055,0.0,8.0,0.0,0.0,8.0
2008,36057,13.0,12.0,0.0,0.0,25.0
2008,36059,22.0,18.0,0.0,0.0,40.0
2008,36061,178.0,222.0,3.0,0.0,403.0
2008,36065,11.0,15.0,0.0,0.0,26.0
2008,36067,24.0,43.0,0.0,0.0,67.0
2008,36071,190.0,206.0,0.0,0.0,396.0
2008,36075,0.0,0.0,6.0,0.0,6.0
2008,36077,0.0,8.0,6.0,0.0,14.0
2008,36079,80.0,120.0,2.0,0.0,202.0
2008,36081,53.0,49.0,1.0,0.0,103.0
2008,36083,237.0,305.0,0.0,0.0,542.0
2008,36085,33.0,16.0,1.0,0.0,50.0
2008,36087,160.0,193.0,0.0,0.0,353.0
2008,36089,11.0,14.0,0.0,0.0,25.0
2008,36091,171.0,193.0,0.0,0.0,364.0
2008,36093,52.0,41.0,0.0,0.0,93.0
2008,36095,14.0,9.0,0.0,0.0,23.0
2008,36101,0.0,0.0,5.0,0.0,5.0
2008,36103,255.0,287.0,0.0,0.0,542.0
2008,36105,59.0,59.0,0.0,0.0,118.0
2008,36109,22.0,20.0,0.0,0.0,42.0
2008,36111,367.0,411.0,0.0,0.0,778.0
2008,36113,8.0,12.0,0.0,0.0,20.0
2008,36115,87.0,96.0,0.0,0.0,183.0
2008,36119,116.0,148.0,0.0,0.0,264.0
2008,38017,0.0,5.0,0.0,0.0,5.0
2008,39035,0.0,6.0,0.0,0.0,6.0
2008,39061,0.0,5.0,0.0,0.0,5.0
2008,41029,0.0,0.0,6.0,0.0,6.0
2008,41051,5.0,0.0,0.0,0.0,5.0
2008,42001,49.0,35.0,0.0,0.0,84.0
2008,42003,0.0,9.0,5.0,0.0,14.0
2008,42005,9.0,11.0,0.0,0.0,20.0
2008,42011,81.0,82.0,2.0,0.0,165.0
2008,42015,0.0,6.0,1.0,0.0,7.0
2008,42017,213.0,277.0,2.0,0.0,492.0
2008,42019,48.0,65.0,0.0,0.0,113.0
2008,42023,8.0,10.0,0.0,0.0,18.0
2008,42025,11.0,0.0,6.0,0.0,17.0
2008,42027,25.0,20.0,0.0,0.0,45.0
2008,42029,312.0,381.0,5.0,0.0,698.0
2008,42033,36.0,58.0,0.0,0.0,94.0
2008,42035,7.0,11.0,0.0,0.0,18.0
2008,42037,9.0,9.0,0.0,0.0,18.0
2008,42041,26.0,30.0,0.0,0.0,56.0
2008,42043,38.0,54.0,0.0,0.0,92.0
2008,42045,7.0,12.0,0.0,0.0,19.0
2008,42047,32.0,48.0,0.0,0.0,80.0
2008,42049,0.0,6.0,3.0,0.0,9.0
2008,42055,20.0,18.0,0.0,0.0,38.0
2008,42057,0.0,0.0,7.0,0.0,7.0
2008,42061,0.0,0.0,8.0,0.0,8.0
2008,42063,7.0,0.0,1.0,0.0,8.0
2008,42065,20.0,30.0,0.0,0.0,50.0
2008,42067,0.0,0.0,6.0,0.0,6.0
2008,42069,0.0,8.0,4.0,0.0,12.0
2008,42071,36.0,30.0,0.0,0.0,66.0
2008,42075,33.0,30.0,0.0,0.0,63.0
2008,42077,68.0,73.0,0.0,0.0,141.0
2008,42079,0.0,12.0,4.0,0.0,16.0
2008,42081,16.0,12.0,0.0,0.0,28.0
2008,42083,9.0,9.0,0.0,0.0,18.0
2008,42087,0.0,5.0,3.0,0.0,8.0
2008,42089,49.0,63.0,0.0,0.0,112.0
2008,42091,205.0,306.0,2.0,0.0,513.0
2008,42093,5.0,6.0,0.0,0.0,11.0
2008,42095,41.0,61.0,0.0,0.0,102.0
2008,42097,5.0,7.0,0.0,0.0,12.0
2008,42099,20.0,15.0,0.0,0.0,35.0
2008,42101,74.0,83.0,0.0,0.0,157.0
2008,42103,15.0,28.0,1.0,0.0,44.0
2008,42105,0.0,0.0,5.0,0.0,5.0
2008,42107,11.0,17.0,0.0,0.0,28.0
2008,42109,0.0,0.0,5.0,0.0,5.0
2008,42115,0.0,0.0,6.0,0.0,6.0
2008,42119,6.0,0.0,0.0,0.0,6.0
2008,42127,10.0,19.0,0.0,0.0,29.0
2008,42131,0.0,6.0,3.0,0.0,9.0
2008,42133,86.0,90.0,0.0,0.0,176.0
2008,44003,8.0,7.0,0.0,0.0,15.0
2008,44005,0.0,8.0,7.0,0.0,15.0
2008,44007,11.0,15.0,1.0,0.0,27.0
2008,44009,52.0,52.0,6.0,0.0,110.0
2008,48085,6.0,0.0,3.0,0.0,9.0
2008,48121,13.0,0.0,5.0,0.0,18.0
2008,48157,5.0,0.0,1.0,0.0,6.0
2008,48201,9.0,0.0,3.0,0.0,12.0
2008,48215,0.0,0.0,7.0,0.0,7.0
2008,48339,7.0,0.0,1.0,0.0,8.0
2008,48355,5.0,0.0,0.0,0.0,5.0
2008,48367,5.0,0.0,0.0,0.0,5.0
2008,48439,16.0,0.0,3.0,0.0,19.0
2008,48453,0.0,0.0,8.0,0.0,8.0
2008,50001,13.0,13.0,1.0,0.0,27.0
2008,50003,61.0,63.0,0.0,0.0,124.0
2008,50005,0.0,0.0,5.0,0.0,5.0
2008,50007,13.0,27.0,0.0,0.0,40.0
2008,50017,0.0,0.0,10.0,0.0,10.0
2008,50021,27.0,34.0,0.0,0.0,61.0
2008,50023,0.0,5.0,0.0,0.0,5.0
2008,50025,43.0,31.0,1.0,0.0,75.0
2008,50027,14.0,25.0,0.0,0.0,39.0
2008,51001,10.0,7.0,0.0,0.0,17.0
2008,51003,7.0,8.0,1.0,0.0,16.0
2008,51013,18.0,15.0,0.0,0.0,33.0
2008,51015,0.0,0.0,9.0,0.0,9.0
2008,51041,9.0,7.0,0.0,0.0,16.0
2008,51043,7.0,7.0,0.0,0.0,14.0
2008,51047,0.0,0.0,6.0,0.0,6.0
2008,51059,96.0,91.0,3.0,0.0,190.0
2008,51061,22.0,16.0,0.0,0.0,38.0
2008,51069,24.0,26.0,0.0,0.0,50.0
2008,51099,0.0,0.0,6.0,0.0,6.0
2008,51103,5.0,0.0,0.0,0.0,5.0
2008,51107,119.0,111.0,0.0,0.0,230.0
2008,51121,9.0,14.0,0.0,0.0,23.0
2008,51131,5.0,0.0,3.0,0.0,8.0
2008,51137,0.0,0.0,5.0,0.0,5.0
2008,51153,25.0,41.0,2.0,0.0,68.0
2008,51165,0.0,7.0,0.0,0.0,7.0
2008,51171,8.0,8.0,0.0,0.0,16.0
2008,51177,5.0,5.0,0.0,0.0,10.0
2008,51179,0.0,0.0,5.0,0.0,5.0
2008,51187,26.0,22.0,0.0,0.0,48.0
2008,51510,0.0,0.0,7.0,0.0,7.0
2008,51540,0.0,0.0,5.0,0.0,5.0
2008,51550,0.0,0.0,7.0,0.0,7.0
2008,51700,0.0,0.0,5.0,0.0,5.0
2008,54003,37.0,34.0,0.0,0.0,71.0
2008,54037,15.0,18.0,0.0,0.0,33.0
2008,54065,9.0,5.0,0.0,0.0,14.0
2008,55001,13.0,13.0,0.0,0.0,26.0
2008,55003,10.0,12.0,0.0,0.0,22.0
2008,55005,34.0,42.0,0.0,0.0,76.0
2008,55007,12.0,9.0,0.0,0.0,21.0
2008,55011,8.0,0.0,4.0,0.0,12.0
2008,55013,26.0,26.0,0.0,0.0,52.0
2008,55015,0.0,0.0,6.0,0.0,6.0
2008,55017,13.0,31.0,0.0,0.0,44.0
2008,55019,26.0,16.0,0.0,0.0,42.0
