Year,FIPS,Confirmed,Probable,Total
2008,34025,254.0,5.0,259.0
2008,34027,369.0,35.0,404.0
2008,34029,123.0,26.0,149.0
2008,34031,149.0,7.0,156.0
2008,34033,44.0,0.0,44.0
2008,34035,138.0,15.0,153.0
2008,34037,321.0,32.0,353.0
2008,34039,59.0,8.0,67.0
2008,34041,247.0,10.0,257.0
2008,36001,564.0,74.0,638.0
2008,36005,50.0,23.0,73.0
2008,36007,15.0,4.0,19.0
2008,36013,4.0,1.0,5.0
2008,36019,6.0,1.0,7.0
2008,36021,429.0,155.0,584.0
2008,36025,6.0,3.0,9.0
2008,36027,722.0,419.0,1141.0
2008,36029,7.0,1.0,8.0
2008,36031,22.0,2.0,24.0
2008,36033,4.0,1.0,5.0
2008,36035,4.0,1.0,5.0
2008,36039,246.0,67.0,313.0
2008,36043,9.0,2.0,11.0
2008,36045,34.0,3.0,37.0
2008,36047,116.0,62.0,178.0
2008,36053,3.0,4.0,7.0
2008,36055,7.0,1.0,8.0
2008,36057,17.0,8.0,25.0
2008,36059,40.0,0.0,40.0
2008,36061,260.0,143.0,403.0
2008,36065,25.0,1.0,26.0
2008,36067,46.0,21.0,67.0
2008,36071,336.0,60.0,396.0
2008,36075,5.0,1.0,6.0
2008,36077,12.0,2.0,14.0
2008,36079,119.0,83.0,202.0
2008,36081,76.0,27.0,103.0
2008,36083,436.0,106.0,542.0
2008,36085,36.0,14.0,50.0
2008,36087,243.0,110.0,353.0
2008,36089,24.0,1.0,25.0
2008,36091,270.0,94.0,364.0
2008,36093,77.0,16.0,93.0
2008,36095,20.0,3.0,23.0
2008,36101,3.0,2.0,5.0
2008,36103,350.0,192.0,542.0
2008,36105,103.0,15.0,118.0
2008,36109,38.0,4.0,42.0
2008,36111,565.0,213.0,778.0
2008,36113,17.0,3.0,20.0
2008,36115,172.0,11.0,183.0
2008,36119,172.0,92.0,264.0
2008,38017,4.0,1.0,5.0
2008,39035,6.0,0.0,6.0
2008,39061,4.0,1.0,5.0
2008,41029,4.0,2.0,6.0
2008,41051,3.0,2.0,5.0
2008,42001,84.0,0.0,84.0
2008,42003,14.0,0.0,14.0
2008,42005,20.0,0.0,20.0
