Year,FIPS,0-19,20+,Suppressed,Unknown,Total
2008,27035,29.0,57.0,0.0,0.0,86.0
2008,27037,24.0,25.0,0.0,0.0,49.0
2008,27049,0.0,0.0,8.0,0.0,8.0
2008,27053,62.0,132.0,0.0,0.0,194.0
2008,27055,0.0,12.0,4.0,0.0,16.0
2008,27057,0.0,19.0,2.0,0.0,21.0
2008,27059,5.0,0.0,9.0,0.0,14.0
2008,27061,15.0,42.0,0.0,0.0,57.0
2008,27065,0.0,0.0,5.0,0.0,5.0
2008,27095,5.0,8.0,1.0,0.0,14.0
2008,27097,0.0,6.0,1.0,0.0,7.0
2008,27109,7.0,11.0,2.0,0.0,20.0
2008,27111,0.0,7.0,1.0,0.0,8.0
2008,27115,7.0,28.0,2.0,0.0,37.0
2008,27119,0.0,0.0,6.0,0.0,6.0
2008,27123,27.0,63.0,0.0,0.0,90.0
2008,27131,0.0,0.0,7.0,0.0,7.0
2008,27137,17.0,60.0,0.0,0.0,77.0
2008,27139,5.0,8.0,1.0,0.0,14.0
2008,27141,13.0,20.0,0.0,0.0,33.0
2008,27145,0.0,15.0,5.0,0.0,20.0
2008,27147,0.0,0.0,5.0,0.0,5.0
2008,27153,0.0,5.0,4.0,0.0,9.0
2008,27159,0.0,9.0,3.0,0.0,12.0
2008,27163,13.0,54.0,2.0,0.0,69.0
2008,27169,5.0,8.0,6.0,0.0,19.0
2008,27171,5.0,11.0,1.0,0.0,17.0
2008,32031,0.0,7.0,1.0,0.0,8.0
2008,33001,0.0,19.0,3.0,0.0,22.0
2008,33003,0.0,14.0,2.0,0.0,16.0
2008,33005,5.0,28.0,3.0,0.0,36.0
2008,33009,0.0,15.0,3.0,0.0,18.0
2008,33011,152.0,293.0,4.0,0.0,449.0
2008,33013,34.0,70.0,0.0,0.0,104.0
2008,33015,178.0,492.0,1.0,0.0,671.0
2008,33017,82.0,179.0,1.0,0.0,262.0
2008,33019,0.0,11.0,3.0,0.0,14.0
